Area,File,Location,Hardcoded Text / Issue,Suggested Key / Fix,Priority
Public pages — scattered gaps,src/app/pages/Checkout.tsx,line 248,toast.error('Add items to your cart before applying a coupon.'),<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/Checkout.tsx,line 258,"toast.success('Coupon ""${{code}}"" applied!')",<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/Checkout.tsx,line 273,"toast.error('Coupon ""${{code}}"" ...')",<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/Checkout.tsx,line 281,setError('Your cart is empty. Please add items before placing an order.'),<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/Checkout.tsx,line 287,setError('One or more items in your cart are invalid...'),<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/Checkout.tsx,line 330,setError('Your session has expired. Please sign in again.'),<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/Checkout.tsx,line 333,setError('You are not authorized to place this order.'),<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/Checkout.tsx,line 339,setError('A product or customer record was not found.'),<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/Checkout.tsx,line 469,placeholder 'aarav@example.com',<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/Checkout.tsx,line 478,placeholder '+977 98XXXXXXXX',<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/Checkout.tsx,line 514,placeholder '44600 (optional)',<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/Checkout.tsx,line 741,placeholder 'ENTER CODE',<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/Checkout.tsx,line 775,aria-label 'Remove coupon',<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/Login.tsx,line 43,setError('Please enter your username'),<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/Login.tsx,line 47,setError('Please enter your password'),<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/Login.tsx,line 56,toast.success('Welcome back!'),<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/Sourcing.tsx,line 130,link text 'About our team →',<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/Careers.tsx,line 193,setError('Please fill in all required fields.'),<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/Careers.tsx,line 198,setError('Please attach your resume/CV.'),<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/Careers.tsx,line 363,placeholder '+977 000 0000',<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/Careers.tsx,line 380,"placeholder 'Street, City, Country'",<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/Careers.tsx,line 438,placeholder 'Tell us why you're excited about this role...',<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/Careers.tsx,line 722,throw new Error('Failed to load careers'),<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/Wholesale.tsx,line 837,jsx text 'Café',<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/Wholesale.tsx,line 884,placeholder '+1 555 000 0000',<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/OrderConfirmed.tsx,line 84,setError('Order reference was not provided.'),<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/OrderConfirmed.tsx,line 99,throw new Error('Order not found.'),<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/CustomerAccount.tsx,line 243,aria-label 'Notifications',<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/CustomerAccount.tsx,line 263,empty state 'No notifications yet.',<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/pages/CollectionDetail.tsx,line 42,throw new Error('Failed to load collections'),<page>.* / notifications.* (extend existing namespace),P1
Public pages — scattered gaps,src/app/components/ShareBar.tsx,line 31,"toast.error(""Copy isn't supported in this browser."")",<page>.* / notifications.* (extend existing namespace),P1
"Shared UI (a11y, sr-only)",src/app/components/ui/dialog.tsx,line 68,"<span class=""sr-only"">Close</span> — screen-reader-only text, used across 16 modal dialogs app-wide",a11y.close (already exists — just needs wiring here),P2
"Dead code (no fix needed, flagged for cleanup)",src/app/components/ui/sheet.tsx,line 77,sr-only 'Close' — component is not imported anywhere in the app,n/a — unused component,P3
"Dead code (no fix needed, flagged for cleanup)",src/app/components/ui/sidebar.tsx,"lines 277,289,292",'Toggle Sidebar' x3 — component is not imported anywhere in the app,n/a — unused component,P3
"Dead code (no fix needed, flagged for cleanup)",src/app/components/ui/pagination.tsx,lines 75-115,'Previous'/'Next'/'Go to previous/next page'/'More pages' — component is not imported anywhere in the app,n/a — unused component,P3
"Dead code (no fix needed, flagged for cleanup)",src/app/components/ui/carousel.tsx,"lines 169,199",'Previous slide'/'Next slide' — the app's only carousel usage (ProductSlider.tsx) uses its own translated buttons instead of these,n/a — unused code path,P3
Server-side error catalog (architectural),src/lib/error-messages.ts,all 101 lines / ~35 messages,"USER_ERRORS catalog + ERROR_CODE_MAP + resolveErrorMessage() bake final English strings into API JSON responses server-side, before any client t() can run","errors.<CODE> namespace + client-side resolveErrorMessage(t, code) (see doc §5)",P0 (architecture) / P2 (execution)
Server-side transactional emails (out of UI scope),src/lib/email.ts,~25 strings across order/verification/wholesale/contact emails,"Email templates (order confirmation, OTP, payment status, wholesale enquiry, contact form) are always sent in English regardless of site language",separate server-side email-locale system (see doc §6),"P3 (flagged, not blocking)"
